ID,Node,Source,Target,Relationship,X,Y,CycleY,Category,Order,Family,Common Names,Weight
39,Belted Kingfisher,Alcedinidae,Belted Kingfisher,Alcedinidae-->Belted Kingfisher,0.677253080821,0.268784697106,0.268784697106,0,0,0,Belted Kingfisher,20
40,Bird,Bird,Falconiformes,Bird-->Falconiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
40,Falconiformes,Bird,Falconiformes,Bird-->Falconiformes,0.343304560033,0.521454438181,0.521454438181,0,Falconiformes,0,0,100
41,Falconiformes,Falconiformes,Falconidae,Falconiformes-->Falconidae,0.343304560033,0.521454438181,0.521454438181,0,Falconiformes,0,0,100
41,Falconidae,Falconiformes,Falconidae,Falconiformes-->Falconidae,0.213918958421,0.567849873553,0.567849873553,0,0,Falconidae,0,50
42,Falconidae,Falconidae,Merlin,Falconidae-->Merlin,0.213918958421,0.567849873553,0.567849873553,0,0,Falconidae,0,50
42,Merlin,Falconidae,Merlin,Falconidae-->Merlin,0.0682421735238,0.516131569872,0.516131569872,0,0,0,Merlin,20
43,Bird,Bird,Falconiformes,Bird-->Falconiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
43,Falconiformes,Bird,Falconiformes,Bird-->Falconiformes,0.343304560033,0.521454438181,0.521454438181,0,Falconiformes,0,0,100
44,Falconiformes,Falconiformes,Falconidae,Falconiformes-->Falconidae,0.343304560033,0.521454438181,0.521454438181,0,Falconiformes,0,0,100
44,Falconidae,Falconiformes,Falconidae,Falconiformes-->Falconidae,0.213918958421,0.567849873553,0.567849873553,0,0,Falconidae,0,50
45,Falconidae,Falconidae,Prairie Falcon,Falconidae-->Prairie Falcon,0.213918958421,0.567849873553,0.567849873553,0,0,Falconidae,0,50
45,Prairie Falcon,Falconidae,Prairie Falcon,Falconidae-->Prairie Falcon,0.16869081612,0.669251762514,0.669251762514,0,0,0,Prairie Falcon,20
46,Bird,Bird,Galliformes,Bird-->Galliformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
46,Galliformes,Bird,Galliformes,Bird-->Galliformes,0.495713633992,0.381307419622,0.381307419622,0,Galliformes,0,0,100
47,Galliformes,Galliformes,Odontophoridae,Galliformes-->Odontophoridae,0.495713633992,0.381307419622,0.381307419622,0,Galliformes,0,0,100
47,Odontophoridae,Galliformes,Odontophoridae,Galliformes-->Odontophoridae,0.588202110167,0.394761192287,0.394761192287,0,0,Odontophoridae,0,50
48,Odontophoridae,Odontophoridae,Gambel's Quail,Odontophoridae-->Gambel's Quail,0.588202110167,0.394761192287,0.394761192287,0,0,Odontophoridae,0,50
48,Gambel's Quail,Odontophoridae,Gambel's Quail,Odontophoridae-->Gambel's Quail,0.553576841544,0.259648366948,0.259648366948,0,0,0,Gambel's Quail,20
49,Bird,Bird,Galliformes,Bird-->Galliformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
49,Galliformes,Bird,Galliformes,Bird-->Galliformes,0.495713633992,0.381307419622,0.381307419622,0,Galliformes,0,0,100
50,Galliformes,Galliformes,Phasianidae,Galliformes-->Phasianidae,0.495713633992,0.381307419622,0.381307419622,0,Galliformes,0,0,100
50,Phasianidae,Galliformes,Phasianidae,Galliformes-->Phasianidae,0.513092378524,0.241331842241,0.241331842241,0,0,Phasianidae,0,50
51,Phasianidae,Phasianidae,Chukar,Phasianidae-->Chukar,0.513092378524,0.241331842241,0.241331842241,0,0,Phasianidae,0,50
51,Chukar,Phasianidae,Chukar,Phasianidae-->Chukar,0.675864494949,0.221167189831,0.221167189831,0,0,0,Chukar,20
52,Bird,Bird,Gruiformes,Bird-->Gruiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
52,Gruiformes,Bird,Gruiformes,Bird-->Gruiformes,0.388655919974,0.583389431265,0.583389431265,0,Gruiformes,0,0,100
53,Gruiformes,Gruiformes,Gruidae,Gruiformes-->Gruidae,0.388655919974,0.583389431265,0.583389431265,0,Gruiformes,0,0,100
53,Gruidae,Gruiformes,Gruidae,Gruiformes-->Gruidae,0.210257515518,0.489574359156,0.489574359156,0,0,Gruidae,0,50
54,Gruidae,Gruidae,Sandhill Crane,Gruidae-->Sandhill Crane,0.210257515518,0.489574359156,0.489574359156,0,0,Gruidae,0,50
54,Sandhill Crane,Gruidae,Sandhill Crane,Gruidae-->Sandhill Crane,0.108884647801,0.397103069041,0.397103069041,0,0,0,Sandhill Crane,20
55,Bird,Bird,Gruiformes,Bird-->Gruiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
55,Gruiformes,Bird,Gruiformes,Bird-->Gruiformes,0.388655919974,0.583389431265,0.583389431265,0,Gruiformes,0,0,100
56,Gruiformes,Gruiformes,Rallidae,Gruiformes-->Rallidae,0.388655919974,0.583389431265,0.583389431265,0,Gruiformes,0,0,100
56,Rallidae,Gruiformes,Rallidae,Gruiformes-->Rallidae,0.533950074548,0.720302669253,0.720302669253,0,0,Rallidae,0,50
57,Rallidae,Rallidae,American Coot,Rallidae-->American Coot,0.533950074548,0.720302669253,0.720302669253,0,0,Rallidae,0,50
57,American Coot,Rallidae,American Coot,Rallidae-->American Coot,0.705991995391,0.901192193456,0.901192193456,0,0,0,American Coot,20
58,Bird,Bird,Passeriformes,Bird-->Passeriformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
58,Passeriformes,Bird,Passeriformes,Bird-->Passeriformes,0.307255155894,0.603701449193,0.603701449193,0,Passeriformes,0,0,100
59,Passeriformes,Passeriformes,Aegithalidae,Passeriformes-->Aegithalidae,0.307255155894,0.603701449193,0.603701449193,0,Passeriformes,0,0,100
59,Aegithalidae,Passeriformes,Aegithalidae,Passeriformes-->Aegithalidae,0.401018161154,0.748674320695,0.748674320695,0,0,Aegithalidae,0,50
60,Aegithalidae,Aegithalidae,Bushtit,Aegithalidae-->Bushtit,0.401018161154,0.748674320695,0.748674320695,0,0,Aegithalidae,0,50
60,Bushtit,Aegithalidae,Bushtit,Aegithalidae-->Bushtit,0.623834570448,0.805241829021,0.805241829021,0,0,0,Bushtit,20
61,Bird,Bird,Passeriformes,Bird-->Passeriformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
61,Passeriformes,Bird,Passeriformes,Bird-->Passeriformes,0.307255155894,0.603701449193,0.603701449193,0,Passeriformes,0,0,100
62,Passeriformes,Passeriformes,Alaudidae,Passeriformes-->Alaudidae,0.307255155894,0.603701449193,0.603701449193,0,Passeriformes,0,0,100
62,Alaudidae,Passeriformes,Alaudidae,Passeriformes-->Alaudidae,0.113354203953,0.660754337382,0.660754337382,0,0,Alaudidae,0,50
63,Alaudidae,Alaudidae,Horned Lark,Alaudidae-->Horned Lark,0.113354203953,0.660754337382,0.660754337382,0,0,Alaudidae,0,50
63,Horned Lark,Alaudidae,Horned Lark,Alaudidae-->Horned Lark,0.0,0.611612298926,0.611612298926,0,0,0,Horned Lark,20
64,Bird,Bird,Pelecaniformes,Bird-->Pelecaniformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
64,Pelecaniformes,Bird,Pelecaniformes,Bird-->Pelecaniformes,0.379261776253,0.394843795212,0.394843795212,0,Pelecaniformes,0,0,100
65,Pelecaniformes,Pelecaniformes,Ardeidae,Pelecaniformes-->Ardeidae,0.379261776253,0.394843795212,0.394843795212,0,Pelecaniformes,0,0,100
65,Ardeidae,Pelecaniformes,Ardeidae,Pelecaniformes-->Ardeidae,0.317430895452,0.265645897405,0.265645897405,0,0,Ardeidae,0,50
66,Ardeidae,Ardeidae,Great Blue Heron,Ardeidae-->Great Blue Heron,0.317430895452,0.265645897405,0.265645897405,0,0,Ardeidae,0,50
66,Great Blue Heron,Ardeidae,Great Blue Heron,Ardeidae-->Great Blue Heron,0.533522114513,0.149334656732,0.149334656732,0,0,0,Great Blue Heron,20
67,Bird,Bird,Pelecaniformes,Bird-->Pelecaniformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
